_id,pin,block_lot,filing_date,case_id,municipality,ward,docket_type,amount,plaintiff
16331,0056C00304000000,56C304,2013-08-30,MG-13-001420,Pittsburgh,15,Sheriff Return,50707.27,Citibank N.A.
8518,1841B00088000000,1841B88,2010-11-02,MG-10-002573,Fawn Township,,Correction to Judgment Index,68601.52,United Midwest Savings Bank
8519,0060C00276000000,60C276,2010-11-03,MG-10-002574,Pittsburgh,29,Order of Court,82814.42,Wells Fargo Bank N.A.
8520,0451S00042000000,451S42,2010-11-03,MG-10-002575,Penn Hills Township,,Discontinued without Prejudice,67466.97,BAC Home Loans Servicing L.P.
8521,0435C00066000000,435C66,2010-11-03,MG-10-002576,Shaler Township,,Sheriff Return,170991.92,BAC Home Loans Servicing L.P.
8522,0066P00062000000,66P62,2010-11-03,MG-10-002577,Carnegie Boro,,Sheriff Return,81792.27,Wachovia Bank National Association
8523,0285B00247000000,285B247,2010-11-03,MG-10-002578,Shaler Township,,Discontinued without Prejudice,47841.55,M & I Bank FSB
8524,0182K00060000000,182K60,2010-11-03,MG-10-002579,Munhall Boro,,Sheriff Return,89732.42,EverBank
8525,0295P00250000000,295P250,2010-11-03,MG-10-002580,Penn Hills Township,,Settled and Discontinued,41651.2,Dollar Bank
8526,0568B00182000000,568B182,2010-11-03,MG-10-002581,Bethel Park Boro,,Settled and Discontinued,73986.27,Dollar Bank
8527,1071A00023000000,1071A23,2010-11-03,MG-10-002582,McCandless Township,,Certificate of Service,61309.85,Citimortgage Inc.
8528,0351S00181000000,351S181,2010-11-04,MG-10-002583,Ross Township,,Discontinued without Prejudice,152606.16,Household Finance Consumer Discount Company
8529,0046A00217000000,46A217,2010-11-04,MG-10-002584,Pittsburgh,26,Sheriff Return,60117.67,Wells Fargo Bank N. A
8530,0046A00216000000,46A216,2010-11-04,MG-10-002584,Pittsburgh,26,Sheriff Return,60117.67,Wells Fargo Bank N. A
8531,0451E00210000000,451E210,2010-11-04,MG-10-002585,Penn Hills Township,,Substitution of Law Firm,48946.06,EMC Mortgage Corporation
8532,0396L00036000000,396L36,2010-11-04,MG-10-002586,Upper St. Clair Twp.,,Discontinued without Prejudice,187797.66,Deutsche Bank National Trust Company
8533,0399B00051000000,399B51,2010-11-04,MG-10-002587,S. Fayette Township,,Settled and Discontinued,124173.46,S & T Bank
8534,0231C00358000000,231C358,2010-11-04,MG-10-002588,Penn Hills Township,,Discontinued without Prejudice,94451.97,Deutsche Bank National Trust Company
8535,0182P00056000000,182P56,2010-11-05,MG-10-002589,Munhall Boro,,Order of Court,82548.66,BAC Home Loans Servicing L.P.
8536,0280P00386000000,280P386,2010-11-05,MG-10-002590,West View Boro,,Discontinued without Prejudice,65016.73,Wells Fargo Bank N.A.
8537,0056J00058000000,56J58,2010-11-05,MG-10-002591,Pittsburgh,15,Sheriff Return,32155.34,Wells Fargo Bank N.A.
8538,0169R00198000000,169R198,2010-11-05,MG-10-002592,Aspinwall Boro,,Settled and Discontinued,136846.07,Deutsche Bank National Trust Company
8539,0004F00122000000,4F122,2010-11-05,MG-10-002593,Pittsburgh,19,Sheriff Return,147389.72,BAC Home Loans Servicing L.P.
8540,0041J00191000000,41J191,2010-11-05,MG-10-002594,Pittsburgh,20,Praecipe to Withdraw,38100.8,Pennsylvania State Employees Credit Union
8541,0419H00319000000,419H319,2010-11-05,MG-10-002595,Coraopolis Boro,,Order of Court,63917.72,BAC Home Loans Servicing L.P.
8542,0150S00096040900,150S96 409,2010-11-05,MG-10-002596,Pennsbury Village,,Sheriff Return,90327.7,Beneficial Consumer Discount Company
8543,0400L00030000000,400L30,2010-11-05,MG-10-002597,S. Fayette Township,,Discontinued without Prejudice,304722.61,BAC Home Loans Servicing L.P.
8544,0305N00066000000,305N66,2010-11-08,MG-10-002598,West Mifflin Boro,,Praecipe to Reinstate,65107.15,Bank of America N.A.
8545,0421B00046000000,421B46,2010-11-08,MG-10-002599,Sewickley Boro,,Sheriff Return,326270.8,Bank of America N.A.
8546,0118L00145000000,118L145,2010-11-08,MG-10-002600,Millvale Boro,,Sheriff Return,53340.32,BAC Home Loans Servicing L.P.
8547,1679L00030000000,1679L30,2010-11-08,MG-10-002601,Harrison Township,,Discontinued without Prejudice,88553.63,HSBC Mortgage Corporation USA
8548,0552L00055000000,552L55,2010-11-08,MG-10-002602,White Oak Boro,,Mail Returned,88706.51,PNC Bank National Association
8549,0235G00178000000,235G178,2010-11-08,MG-10-002603,Braddock Hills Boro,,Discontinued without Prejudice,67444.69,HSBC Mortgage Services Inc.
8550,0235G00180000000,235G180,2010-11-08,MG-10-002603,Braddock Hills Boro,,Discontinued without Prejudice,67444.69,HSBC Mortgage Services Inc.
8551,0279F00166000000,279F166,2010-11-08,MG-10-002604,West View Boro,,Discontinued without Prejudice,133034.64,Bank of New York Mellon Trust Company N.A.
8552,0081E00116000000,81E116,2010-11-08,MG-10-002605,Pittsburgh,6,Motion & Order,52899.63,Bank of New York
8553,0136A00187000000,136A187,2010-11-08,MG-10-002606,Baldwin Boro,,Certificate-Recorder of Deeds,72003.09,Deutsche Bank National Trust Company
8554,0634C00335000000,634C335,2010-11-09,MG-10-002607,Penn Hills Township,,Praecipe to Withdraw,141881.71,BAC Home Loans Servicing L.P.
8613,0233J00216000000,233J216,2010-11-17,MG-10-002666,Pittsburgh,2,Sheriff Return,55274.44,Wells Fargo Bank N.A.
8555,0141A00077000000,141A77,2010-11-09,MG-10-002608,Mt. Lebanon Township,,Order of Court,103472.41,Wells Fargo Bank N.A.
8556,0560S00025000000,560S25,2010-11-09,MG-10-002609,Jefferson Hills Boro,,Complaint,51850.39,BAC Home Loans Servicing L.P.
8557,0667G00050000000,667G50,2010-11-09,MG-10-002610,Bethel Park Boro,,Discontinued without Prejudice,110542.64,Deutsche Bank National Trust Company
8558,0214S00185000000,214S185,2010-11-09,MG-10-002611,Avalon Boro,,Sheriff Return,61240.9,PNC Mortgage
8559,0104S00104000000,104S104,2010-11-09,MG-10-002612,Carnegie Boro,,Discontinued without Prejudice,87392.94,HSBC Mortgage Services Inc.
8560,0160B00028000000,160B28,2010-11-09,MG-10-002613,Bellevue Boro,,Sheriff Return,52869.06,PNC Mortgage
8561,1108G00096000000,1108G96,2010-11-09,MG-10-002614,Monroeville Boro,,Satisfaction,108339.68,U.S. Bank National Assocation
8562,0233M00061000000,233M61,2010-11-09,MG-10-002615,Wilkinsburg Boro,,Sheriff Return,50072.33,U.S. Bank National Assocation
8563,0369K00283000000,369K283,2010-11-09,MG-10-002616,Penn Hills Township,,Order of Court,104655.15,Citimortgage Inc.
8564,0073M00368000000,73M368,2010-11-09,MG-10-002617,Stowe Township,,Complaint,60792.9,U.S. Bank N.A.
8565,0317N00069000000,317N69,2010-11-09,MG-10-002618,Bethel Park Boro,,Sheriff Return,145011.43,U.S. Bank National Association
8566,0464L00280000000,464L280,2010-11-09,MG-10-002619,City of McKeesport,11,Discontinued without Prejudice,85283.82,New York Community Bank
8567,0185L00284000000,185L284,2010-11-10,MG-10-002620,West Mifflin Boro,,Praecipe to Withdraw,98273.03,BAC Home Loans Servicing L.P.
8568,0073S00219000000,73S219,2010-11-10,MG-10-002621,Stowe Township,,Correction to Judgment Index,71478.66,Wells Fargo Bank N.A.
8569,0040L00324000000,40L324,2010-11-10,MG-10-002622,Pittsburgh,28,Discontinued without Prejudice,72480.61,BAC Home Loans Servicing L.P.
8570,0508J00309000000,508J309,2010-11-10,MG-10-002623,Sewickley Boro,,Discontinued without Prejudice,271431.41,Deutsche Bank National Trust Company
8571,0116A00159000000,116A159,2010-11-10,MG-10-002624,Pittsburgh,26,Discontinued without Prejudice,60606.71,Bank of New York Mellon
8572,0233G00024000000,233G24,2010-11-10,MG-10-002625,Wilkinsburg Boro,,Complaint,13497.99,Wells Fargo Bank N.A.
8573,0093N00012000200,93N12 2,2010-11-10,MG-10-002626,Baldwin Boro,,Discontinued without Prejudice,116140.09,Wells Fargo Bank N.A.
8574,0620P00290000000,620P290,2010-11-11,MG-10-002627,Indiana Township,,Discontinued without Prejudice,157359.1,Beneficial Consumer Discount Company
8575,0235B00321000000,235B321,2010-11-12,MG-10-002628,Swissvale Boro,,Sheriff Return,0.0,U.S. Bank National Association
8576,0233E00272000000,233E272,2010-11-11,MG-10-002629,Wilkinsburg Boro,,Praecipe to Reinstate,65093.67,Bank of America N.A.
8577,0449R00173000000,449R173,2010-11-12,MG-10-002630,Penn Hills Township,,Settled and Discontinued,0.0,U.S. Bank National Association
8578,0299F00128000000,299F128,2010-11-11,MG-10-002631,Forest Hills Boro,,Order of Court,64956.19,BAC Home Loans Servicing L.P.
8579,2394N00129000000,2394N129,2010-11-11,MG-10-002632,Fawn Township,,Discontinued without Prejudice,99596.68,Wells Fargo Bank N.A.
8580,0416R00055000000,416R55,2010-11-11,MG-10-002633,Moon Township,,Sheriff Return,193680.88,Wells Fargo Bank N.A.
8581,0464D00008000000,464D8,2010-11-11,MG-10-002634,McKees Rocks Boro,,Discontinued without Prejudice,31875.64,Bank of New York Mellon
8582,0040G00327000000,40G327,2010-11-12,MG-10-002635,Pittsburgh,28,Discontinued without Prejudice,36783.84,Wells Fargo Bank N.A.
8583,0247F00146000000,247F146,2010-11-12,MG-10-002636,Whitehall Boro,,Complaint,127823.22,Deutsche Bank National Trust Company
8584,0359G00060000000,359G60,2010-11-12,MG-10-002637,Fox Chapel Boro,,Sheriff Return,665098.84,LSF9 Master Participation Trust
8585,0139A00022000000,139A22,2010-11-15,MG-10-002638,Pittsburgh,19,Sheriff Return,33435.82,BAC Home Loans Servicing L.P.
8586,1129F00006000000,1129F6,2010-11-15,MG-10-002639,Elizabeth Township,,Sheriff Return,101826.19,Nationstar Mortgage LLC
8587,0094K00216000000,94K216,2010-11-15,MG-10-002640,Pittsburgh,29,Discontinued without Prejudice,44217.76,Wells Fargo Bank N.A.
8588,0071L00265000000,71L265,2010-11-15,MG-10-002641,Pittsburgh,20,Discontinued without Prejudice,33926.73,U.S. Bank National Association
8589,0259J00014000000,259J14,2010-11-15,MG-10-002642,S. Fayette Township,,Order of Court,111613.96,BAC Home Loans Servicing L.P.
8590,1679P00234000000,1679P234,2010-11-15,MG-10-002643,Harrison Township,,Sheriff Return,0.0,Beneficial Consumer Discount Company
8591,0004P00061000000,4P61,2010-11-15,MG-10-002644,Pittsburgh,19,Sheriff Return,99531.14,Wells Fargo Bank N.A.
8592,0372E00126000000,372E126,2010-11-15,MG-10-002645,Churchill Boro,,Certificate-Recorder of Deeds,108774.13,HSBC Bank USA National Association
8593,0447G00092000000,447G92,2010-11-15,MG-10-002646,Penn Hills Township,,Argument Scheduled,73290.54,Bank of America N.A.
8594,0115H00314000000,115H314,2010-11-16,MG-10-002647,Pittsburgh,26,Discontinued without Prejudice,69213.47,U.S. Bank National Association as trustee
8595,0691M00032000000,691M32,2010-11-16,MG-10-002648,N. Fayette Township,,Discontinued without Prejudice,132550.15,Citimortgage Inc.
8596,0415B00030000000,415B30,2010-11-16,MG-10-002649,Moon Township,,Mail Returned,173443.64,Citimortgage Inc.
8597,0404L00023000000,404L23,2010-11-16,MG-10-002650,S. Fayette Township,,Default Judgment,262989.79,Citimortgage Inc.
8598,0131E00291000000,131E291,2010-11-16,MG-10-002651,Homestead Boro,,Correction to Judgment Index,66991.11,Citimortgage Inc.
8599,0655G00033000000,655G33,2010-11-16,MG-10-002652,Lincoln Boro,,Correction to Judgment Index,85046.28,Nationstar Mortgage LLC
8600,0181G00043000000,181G43,2010-11-16,MG-10-002653,West Mifflin Boro,,Sheriff Return,0.0,Beneficial Consumer Discount Company
8601,0535B00128000000,535B128,2010-11-16,MG-10-002655,Penn Hills Township,,Sheriff Return,0.0,Household Finance Consumer Discount Company
8602,0596A00245000000,596A245,2010-11-16,MG-10-002656,Moon Township,,Settled and Discontinued,27806.12,Dollar Bank
8603,0596A00712000000,596A712,2010-11-16,MG-10-002656,Moon Township,,Settled and Discontinued,27806.12,Dollar Bank
8604,0381P00069000000,381P69,2010-11-16,MG-10-002657,City of McKeesport,7,Sheriff Return,22056.84,Dollar Bank
8605,0734K00052000000,734K52,2010-11-17,MG-10-002658,Plum Boro,,Sheriff Return,77087.25,Wells Fargo Bank N.A.
8606,0075S00006000000,75S6,2010-11-17,MG-10-002659,Pittsburgh,27,Praecipe to Withdraw,76529.63,Wells Fargo Bank N.A.
8607,0236H00049000000,236H49,2010-11-17,MG-10-002660,N. Braddock Boro,,Sheriff Return,27843.49,Aurora Loan Services LLC
8608,0652G00333000000,652G333,2010-11-17,MG-10-002661,Elizabeth Boro,,Sheriff Return,0.0,Wells Fargo Bank N.A.
8609,0083G00139000000,83G139,2010-11-17,MG-10-002662,Pittsburgh,11,Certificate-Recorder of Deeds,96932.66,U.S. Bank National Association
8610,0301E00173000000,301E173,2010-11-17,MG-10-002663,N. Braddock Boro,,Sheriff Return,0.0,Beneficial Consumer Discount Company
8611,0096E00157000000,96E157,2010-11-17,MG-10-002664,Pittsburgh,19,Discontinued without Prejudice,0.0,Beneficial Consumer Discount Company
8612,0113M00349000000,113M349,2010-11-17,MG-10-002665,Bellevue Boro,,Order of Court,48879.59,Wells Fargo Bank N.A.
8614,1837N00176000000,1837N176,2010-11-17,MG-10-002667,West Deer Township,,Complaint,74552.55,Heinz Del Monte Federal Credit Union
8615,0634D00027000000,634D27,2010-11-17,MG-10-002668,Penn Hills Township,,Sheriff Return,119837.42,PHH Mortgage Corporation
8616,0972S00030000000,972S30,2010-11-17,MG-10-002669,Plum Boro,,Sheriff Return,270946.22,U.S. Bank National Association
8617,0179J00046000000,179J46,2010-11-18,MG-10-002670,Munhall Boro,,Sheriff Return,54259.46,Household Finance Consumer Discount Company
8618,0659G00200000000,659G200,2010-11-18,MG-10-002671,Jefferson Hills Boro,,Sheriff Return,164881.2,Bank of America N.A.
8619,0382S00056000000,382S56,2010-11-18,MG-10-002672,City of McKeesport,7,Sheriff Return,74396.84,BAC Home Loans Servicing L.P.
8620,0018H00354000000,18H354,2010-11-18,MG-10-002673,Pittsburgh,20,Certificate-Recorder of Deeds,59565.56,BAC Home Loans Servicing L.P.
8621,1104D00306000000,1104D306,2010-11-18,MG-10-002674,Plum Boro,,Sheriff Return,116703.11,Wells Fargo Bank N.A.
8622,0615M00234000000,615M234,2010-11-19,MG-10-002675,Hampton Township,,Satisfaction,0.0,Deutsche Bank National Trust Company
8623,0181E00009000000,181E9,2010-11-19,MG-10-002676,Munhall Boro,,Satisfaction,114184.63,Royal Bank America
8624,1270R00014000000,1270R14,2010-11-19,MG-10-002677,Elizabeth Township,,Sheriff Return,143214.89,Bank of New York Mellon
8625,1107R00309000000,1107R309,2010-11-19,MG-10-002678,Monroeville Boro,,Sheriff Return,131296.16,Household Finance Consumer Discount Company
8626,1270P00029000000,1270P29,2010-11-19,MG-10-002679,Elizabeth Township,,Discontinued without Prejudice,192283.92,PNC Bank National Association
8627,0202D00007000000,202D7,2010-11-19,MG-10-002680,Collier Township,,Order of Court,67567.95,US Bank National Association
8628,0979K00338000000,979K338,2010-11-22,MG-10-002681,Monroeville Boro,,Discontinued without Prejudice,0.0,Household Finance Consumer Discount Company
8629,0073A00089000000,73A89,2010-11-22,MG-10-002682,Stowe Township,,Duplicate,73877.79,Deutsche Bank National Trust Company
8630,0702F00012000000,702F12,2010-11-22,MG-10-002683,Crescent Township,,Sheriff Return,199170.54,Wells Fargo Bank N.A.
8631,0167A00271000000,167A271,2010-11-22,MG-10-002684,Etna Boro,,Sheriff Return,54093.28,U.S. Bank National Association
8632,0019B00178000000,19B178,2010-11-22,MG-10-002685,Pittsburgh,20,Order of Court,78317.4,Deutsche Bank National Trust Company as Trustee
8633,0068D00092000000,68D92,2010-11-22,MG-10-002686,Crafton Boro,,Discontinued without Prejudice,163073.22,Countrywide Home Loans Servicing L.P.
8634,0133N00284000000,133N284,2010-11-22,MG-10-002687,Pittsburgh,31,Sheriff Return,50718.41,First Commonwealth Bank
8635,0014B00005000000,14B5,2010-11-22,MG-10-002688,Pittsburgh,18,Sheriff Return,27771.52,Deutsche Bank National Trust Company
8636,0596S00093000000,596S93,2010-11-22,MG-10-002689,Moon Township,,Discontinued without Prejudice,246837.09,Onewest Bank FSB
8637,1100B00072000000,1100B72,2010-11-22,MG-10-002690,Plum Boro,,Sheriff Return,41485.72,Citimortgage Inc.
8638,0727K00267000000,727K267,2010-11-22,MG-10-002691,Indiana Township,,Sheriff Return,63785.3,Citimortgage Inc.
8639,0456M00020000000,456M20,2010-11-22,MG-10-002692,N. Versailles Twp.,,Sheriff Return,66505.59,Citimortgage Inc.
8640,0800D00015000000,800D15,2010-11-22,MG-10-002693,N. Fayette Township,,Satisfaction,15355.03,Wells Fargo Bank NA
8641,0128C00268000000,128C268,2010-11-22,MG-10-002694,Millvale Boro,,Discontinued without Prejudice,63279.32,Wells Fargo Bank N.A.
8642,0382C00194000000,382C194,2010-11-23,MG-10-002695,City of McKeesport,7,Order of Court,56166.43,U.S. Bank National Association
8643,0926A00147000000,926A147,2010-11-23,MG-10-002696,Moon Township,,Sheriff Return,94418.31,Midfirst Bank
8644,0118C00032000000,118C32,2010-11-23,MG-10-002699,Millvale Boro,,Sheriff Return,56344.79,Midfirst Bank
8645,0403G00296000000,403G296,2010-11-23,MG-10-002700,Pittsburgh,28,Settled and Discontinued,41662.97,Midfirst Bank
8646,0049M00237000000,49M237,2010-11-23,MG-10-002701,Pittsburgh,9,Settled and Discontinued,26991.18,Midfirst Bank
8647,0040B00024000000,40B24,2010-11-23,MG-10-002702,Pittsburgh,28,Sheriff Return,25351.35,Midfirst Bank
8648,0481N00022000000,481N22,2010-11-23,MG-10-002703,S. Fayette Township,,Discontinued without Prejudice,72611.95,PHH Mortgage Corporation
8649,0613D00216000000,613D216,2010-11-23,MG-10-002704,McCandless Township,,Sheriff Return,32549.77,Dollar Bank
8650,1067M00068000000,1067M68,2010-11-24,MG-10-002705,Franklin Park Boro,,Sheriff Return,157835.29,Firstmerit Mortgage Corporation
8651,0298A00050000000,298A50,2010-11-24,MG-10-002706,Wilkinsburg Boro,,Certificate-Recorder of Deeds,52566.15,Bank of America N.A.
8652,0195L00034000000,195L34,2010-11-24,MG-10-002707,Scott Township,,Default Judgment,66227.92,Wells Fargo Bank N.A.
8653,0204J00151000000,204J151,2010-11-24,MG-10-002708,Robinson Township,,Sheriff Return,257868.03,Wells Fargo Bank N.A.
8654,0979K00338000000,979K338,2010-11-24,MG-10-002709,Monroeville Boro,,Discontinued without Prejudice,0.0,Household Finance Consumer Discount Company
8655,0206A00015000000,206A15,2010-11-24,MG-10-002710,Robinson Township,,Complaint,116506.93,Northwest Savings Bank
8656,0213H00041000000,213H41,2010-11-24,MG-10-002711,Ben Avon Boro,,Discontinued without Prejudice,116410.54,Wells Fargo Bank N.A.
8657,0365E00098000000,365E98,2010-11-24,MG-10-002712,Verona Boro,,Sheriff Return,51186.01,U.S. Bank National Association
8658,0214E00080000000,214E80,2010-11-24,MG-10-002713,Ben Avon Boro,,Sheriff Return,108834.8,First Niagara Bank N.A.
8659,0167M00229000000,167M229,2010-11-24,MG-10-002714,Sharpsburg Boro,,Settled and Discontinued,40005.05,First Commonwealth Bank
8660,0109A00098000000,109A98,2010-11-24,MG-10-002715,Kennedy Township,,Praecipe for Appearance,0.0,Beneficial Consumer Discount Company
8661,0297A00126000000,297A126,2010-11-24,MG-10-002716,Wilkinsburg Boro,,Sheriff Return,0.0,US Bank N.A.
8662,0014P00014000000,14P14,2010-11-24,MG-10-002717,Pittsburgh,30,Settled and Discontinued,0.0,Wells Fargo Bank N.A.
8663,0283J00187000000,283J187,2010-11-24,MG-10-002718,Shaler Township,,Praecipe to Withdraw,91197.1,Bank of America National Association
8664,0015D00002000000,15D2,2010-11-26,MG-10-002719,Pittsburgh,18,Correction to Judgment Index,69774.57,Deutsche Bank National Trust Company
8665,0214D00040000000,214D40,2010-11-29,MG-10-002720,Ben Avon Hts. Boro,,Answer and New Matter,285092.61,HSBC Mortgage Services Inc.
8666,0049A00308000000,49A308,2010-11-29,MG-10-002721,Pittsburgh,9,Certificate-Recorder of Deeds,78048.44,Beneficial Consumer Discount Company
8667,0173G00357000000,173G357,2010-11-30,MG-10-002722,Penn Hills Township,,Sheriff Return,23313.37,Wachovia Bank of Delaware N.A.
8668,0691L00028000000,691L28,2010-11-29,MG-10-002723,N. Fayette Township,,Sheriff Return,17868.86,JPMorgan Chase Bank N.A.
8669,0535J00267000000,535J267,2010-11-29,MG-10-002724,Penn Hills Township,,Discontinued without Prejudice,101962.67,Deutsche Bank National Trust Company
8670,0957C00010000000,957C10,2010-11-30,MG-10-002725,Indiana Township,,Sheriff Return,99770.05,Wells Fargo Bank N.A.
8671,0055H00043000000,55H43,2010-11-30,MG-10-002726,Pittsburgh,15,Praecipe to Withdraw,70998.1,Bank of New York Mellon Trust Company N.A.
8672,0033H00160000000,33H160,2010-11-30,MG-10-002727,Mt. Oliver Boro,,Sheriff Return,103243.34,HSBC Mortgage Services Inc.
8673,0653B00245000000,653B245,2010-11-30,MG-10-002728,Versailles Boro,,Sheriff Return,90548.51,Beneficial Consumer Discount Company
8674,0432S00071000000,432S71,2010-11-30,MG-10-002729,Shaler Township,,Discontinued without Prejudice,116749.22,U.S. Bank National Association
8675,0851J00326000000,851J326,2010-12-01,MG-10-002730,Plum Boro,,Affidavit,98250.51,Wells Fargo Bank N.A.
8676,0137B00031000000,137B31,2010-12-01,MG-10-002731,Pittsburgh,29,Sheriff Return,61268.31,HSBC Bank USA N.A.
8677,0538R00335000000,538R335,2010-12-01,MG-10-002732,Penn Hills Township,,Sheriff Return,73834.18,U.S. Bank N.A.
8678,0467L00126000000,467L126,2010-12-01,MG-10-002733,Glassport Boro,,Sheriff Return,77111.31,U.S. Bank National Association
8679,0373M00278000000,373M278,2010-12-01,MG-10-002734,Wilkins Township,,Discontinued without Prejudice,56477.83,U.S Bank National Association
8680,0373M00270000000,373M270,2010-12-01,MG-10-002734,Wilkins Township,,Discontinued without Prejudice,56477.83,U.S Bank National Association
8681,0938H00344000000,938H344,2010-12-01,MG-10-002735,Sewickley Hills Boro,,Discontinued without Prejudice,344670.81,US Bank National Association
8682,0732R00154000000,732R154,2010-12-01,MG-10-002736,Springdale Boro,,Discontinued without Prejudice,41561.54,US Bank National Association
8683,0130S00016000000,130S16,2010-12-01,MG-10-002737,Munhall Boro,,Discontinued without Prejudice,92062.58,U.S. Bank National Association
8684,0372E00270000000,372E270,2010-12-01,MG-10-002738,Churchill Boro,,Discontinued without Prejudice,69904.51,Chase Home Finance LLC
8685,0421F00357000000,421F357,2010-12-02,MG-10-002739,Sewickley Boro,,Answer and New Matter,234165.97,U.S. Bank National Association
8686,0639H00221000000,639H221,2010-12-02,MG-10-002740,Monroeville Boro,,Discontinued without Prejudice,88520.15,HSBC Bank USA N.A.
8687,0070P00120000000,70P120,2010-12-03,MG-10-002741,Ingram Boro,,Sheriff Return,65205.65,Wells Fargo Bank N.A.
8688,0013K00051000000,13K51,2010-12-03,MG-10-002742,Pittsburgh,16,Correction to Judgment Index,40223.68,Wells Fargo Bank N.A.
8689,0957F00252000000,957F252,2010-12-03,MG-10-002743,Indiana Township,,Satisfaction,72158.13,Wells Fargo Bank N.A.
8690,0925C00034000000,925C34,2010-12-03,MG-10-002744,Moon Township,,Praecipe to Withdraw,174514.63,Wells Fargo Bank N.A.
8691,0202R00024000000,202R24,2010-12-03,MG-10-002745,Collier Township,,Discontinued without Prejudice,283064.86,Deutsche Bank National Trust Company
8692,0113B00013000000,113B13,2010-12-03,MG-10-002746,Bellevue Boro,,Sheriff Return,85582.84,Bank of America N.A.
8693,0114R00283000000,114R283,2010-12-07,MG-10-002747,Pittsburgh,27,Certificate-Recorder of Deeds,0.0,Wells Fargo N.A.
8694,0173F00225000000,173F225,2010-12-06,MG-10-002748,Pittsburgh,12,Order of Court,56731.32,Bank of New York Mellon
8695,0375L00156000000,375L156,2010-12-07,MG-10-002749,East Pittsburgh Boro,,Certificate-Recorder of Deeds,55954.53,Aurora Loan Services LLC
8696,0188B00185000000,188B185,2010-12-07,MG-10-002750,Brentwood Boro,,Settled and Discontinued,0.0,US Bank N.A.
8697,0137A00163000000,137A163,2010-12-07,MG-10-002751,Brentwood Boro,,Sheriff Return,0.0,US Bank N.A.
8698,0934C00042000000,934C42,2010-12-07,MG-10-002752,Leet Township,,Discontinued without Prejudice,0.0,Household Finance Consumer Discount Company
8699,0375K00083000000,375K83,2010-12-07,MG-10-002753,N. Braddock Boro,,Sheriff Return,0.0,Household Finance Consumer Discount Company
8700,1270C00214000000,1270C214,2010-12-07,MG-10-002754,Elizabeth Township,,Sheriff Return,0.0,Household Finance Consumer Discount Company
8701,0857P00175012900,857P175 129,2010-12-07,MG-10-002755,Monroeville Boro,,Sheriff Return,0.0,Household Finance Consumer Discount Company
8702,0738K00032000000,738K32,2010-12-07,MG-10-002756,Plum Boro,,Sheriff Return,119969.96,Wells Fargo Bank N.A.
8703,1137A00096000000,1137A96,2010-12-07,MG-10-002757,South Park Township,,Order of Court,102051.52,US Bank National Association
8704,0060L00132000000,60L132,2010-12-07,MG-10-002758,Pittsburgh,29,Sheriff Return,51509.96,Deutsche Bank
8705,0250A00140000000,250A140,2010-12-07,MG-10-002759,Castle Shannon Boro,,Settled and Discontinued,52784.9,U.S. Bank National Association
8706,0458A00030000000,458A30,2010-12-07,MG-10-002760,N. Versailles Twp.,,Sheriff Return,74174.61,U.S. Bank National Association
8707,0325R00016000000,325R16,2010-12-07,MG-10-002761,S. Fayette Township,,Praecipe to Withdraw,57548.3,PHH Mortgage Corporation
8708,0304L00175000000,304L175,2010-12-07,MG-10-002762,City of Duquesne,1,Discontinued without Prejudice,70119.04,Bank of New York Mellon Trust Company National Association
8709,1506M00005000000,1506M5,2010-12-07,MG-10-002763,Richland Township,,Sheriff Return,310685.02,U.S. Bank National Association as trustee
8710,0367H00180000000,367H180,2010-12-08,MG-10-002764,Penn Hills Township,,Certificate-Recorder of Deeds,127615.44,BAC Home Loans Servicing L.P.
8711,1008C00182000000,1008C182,2010-12-08,MG-10-002765,South Park Township,,Order of Court,146919.16,LaSalle Bank National Association
8712,,298A50 72,2010-12-08,MG-10-002766,Wilkinsburg Boro,,Sheriff Return,34022.78,PNC Bank N.A.
8713,2275K00286000000,2275K286,2010-12-08,MG-10-002767,Forward Township,,Certificate-Recorder of Deeds,97697.77,U.S. Bank N.A. ND
8714,0637K00059000000,637K59,2010-12-08,MG-10-002768,Monroeville Boro,,Correction to Judgment Index,133197.19,Bank of New York Mellon
8715,0430L00171000000,430L171,2010-12-08,MG-10-002769,Ross Township,,Sheriff Return,133584.48,Wells Fargo Bank National Association
8716,0979A00174000000,979A174,2010-12-08,MG-10-002770,Monroeville Boro,,Sheriff Return,149058.48,Deutsche Bank National Trust Company as Trustee
8717,0180R00049000000,180R49,2010-12-08,MG-10-002771,Whitaker Boro,,Order of Court,116673.62,Deutsche Bank National Trust Company as trustee
8718,0381C00150000000,381C150,2010-12-08,MG-10-002772,City of McKeesport,7,Order of Court,95140.13,Deutsche Bank Trust Company
8719,0317A00022000000,317A22,2010-12-09,MG-10-002773,Bethel Park Boro,,Sheriff Return,144285.7,PNC Mortgage
8720,0569A00192000000,569A192,2010-12-09,MG-10-002774,Upper St. Clair Twp.,,Discontinued without Prejudice,291837.8,Beneficial Consumer Discount Company
8721,0173A00072000000,173A72,2010-12-09,MG-10-002775,Pittsburgh,,Discontinued without Prejudice,68771.93,Household Finance Consumer Discount Company
8722,0935L00115000000,935L115,2010-12-09,MG-10-002776,Bell Acres Boro,,Sheriff Return,190664.55,HSBC Bank USA N.A.
